id,city,country,month,name,series,state,year,date,cun,location_type,location_path,latitude,longitude
aachen_icon,Aachen,Germany,January,Aachen,icon,,2009,2009-01-01,Aachen,city,"Aachen, Germany",50.776351,6.083862
aarhus_icon,Aarhus,Denmark,January,Aarhus,icon,,2014,2014-01-01,Arhus,city,"Aarhus, Denmark",56.14962779999999,10.2134046
aberdeen_yah,Aberdeen,United Kingdom,August,Aberdeen,yah,Scotland,2017,2017-08-01,Aberdeen,city,"Aberdeen, Scotland, United Kingdom",57.1482429,-2.0928095
abu_dhabi_icon,Abu Dhabi,United Arab Emirates,January,Abu Dhabi,icon,,2011,2011-01-01,Abu Dhabi,city,"Abu Dhabi, United Arab Emirates",23.99764435,53.6439097569213
acapulco_bts,Acapulco,Mexico,August,Acapulco,bts,Guerrero,2018,2018-08-01,Acapulco de Juarez,city,"Acapulco, Guerrero, Mexico",16.868049499999998,-99.8940182
acapulco_icon,Acapulco,Mexico,January,Acapulco,icon,Guerrero,2010,2010-01-01,Acapulco de Juarez,city,"Acapulco, Guerrero, Mexico",16.868049499999998,-99.8940182
adana_yah,Adana,Turkey,October,Adana,yah,,2017,2017-10-01,Adana,city,"Adana, Turkey",36.9936175,35.3258349
alabama_bto,,United States,September,Alabama,bto,Alabama,2018,2018-09-01,,state,"Alabama, United States",33.258881699999996,-86.8295337
alabama_bts,,United States,March,Alabama,bts,Alabama,2018,2018-03-01,,state,"Alabama, United States",33.258881699999996,-86.8295337
alabama_yah,,United States,July,Alabama,yah,Alabama,2014,2014-07-01,,state,"Alabama, United States",33.258881699999996,-86.8295337
alaska_bto,,United States,August,Alaska,bto,Alaska,2018,2018-08-01,,state,"Alaska, United States",64.44596130000001,-149.680909
alaska_bts,,United States,March,Alaska,bts,Alaska,2018,2018-03-01,,state,"Alaska, United States",64.44596130000001,-149.680909
alaska_icon,,United States,January,Alaska,icon,Alaska,2009,2009-01-01,,state,"Alaska, United States",64.44596130000001,-149.680909
alaska_yah,,United States,April,Alaska,yah,Alaska,2013,2013-04-01,,state,"Alaska, United States",64.44596130000001,-149.680909
alaska_yaho,,United States,August,Alaska,yaho,Alaska,2016,2016-08-01,,state,"Alaska, United States",64.44596130000001,-149.680909
alberta_bts,,Canada,May,Alberta,bts,Alberta,2018,2018-05-01,,state,"Alberta, Canada",55.001251,-115.00213600000001
alicante_icon,Alicante,Spain,January,Alicante,icon,,2013,2013-01-01,Alicante,city,"Alicante, Spain",38.353738,-0.49018459999999997
amsterdam_icon,Amsterdam,Netherlands,January,Amsterdam,icon,,2009,2009-01-01,Amsterdam,city,"Amsterdam, Netherlands",52.3745403,4.89797550561798
amsterdam_icon_2,Amsterdam,Netherlands,January,Amsterdam v.2,icon,,2015,2015-01-01,Amsterdam,city,"Amsterdam, Netherlands",52.3745403,4.89797550561798
amsterdam_rlf,Amsterdam,Netherlands,November,Amsterdam,rlf,,2011,2011-11-01,Amsterdam,city,"Amsterdam, Netherlands",52.3745403,4.89797550561798
amsterdam_rlf_2,Amsterdam,Netherlands,November,Amsterdam Gold,rlf,,2014,2014-11-01,Amsterdam,city,"Amsterdam, Netherlands",52.3745403,4.89797550561798
amsterdam_rlf_3,Amsterdam,Netherlands,November,Amsterdam Green,rlf,,2015,2015-11-01,Amsterdam,city,"Amsterdam, Netherlands",52.3745403,4.89797550561798
amsterdam_yah,Amsterdam,Netherlands,November,Amsterdam,yah,,2013,2013-11-01,Amsterdam,city,"Amsterdam, Netherlands",52.3745403,4.89797550561798
amsterdam_yahx,Amsterdam,Netherlands,October,Amsterdam,yahx,,2017,2017-10-01,Amsterdam,city,"Amsterdam, Netherlands",52.3745403,4.89797550561798
andorra_yah,,Andorra,September,Andorra,yah,,2019,2019-09-01,,country,Andorra,42.540716700000004,1.5732033
ankara_icon,Ankara,Turkey,January,Ankara,icon,,2009,2009-01-01,Ankara,city,"Ankara, Turkey",39.9207774,32.854067
ankara_yah,Ankara,Turkey,September,Ankara,yah,,2017,2017-09-01,Ankara,city,"Ankara, Turkey",39.9207774,32.854067
antalya_icon,Antalya,Turkey,January,Antalya,icon,,2013,2013-01-01,Antalya,city,"Antalya, Turkey",36.9009641,30.6954846
antalya_yah,Antalya,Turkey,October,Antalya,yah,,2017,2017-10-01,Antalya,city,"Antalya, Turkey",36.9009641,30.6954846
antigua_icon,Antigua,Guatemala,January,Antigua,icon,,2017,2017-01-01,Antigua Guatemala,city,"Antigua, Guatemala",14.5589875,-90.73332579999999
antwerp_icon,Antwerp,Belgium,January,Antwerp,icon,,2010,2010-01-01,Antwerpen,city,"Antwerp, Belgium",51.2211097,4.3997081
arequipa_icon,Arequipa,Peru,January,Arequipa,icon,,2013,2013-01-01,Arequipa,city,"Arequipa, Peru",-16.3988667,-71.53696070000001
argentina_bts,,Argentina,August,Argentina,bts,,2018,2018-08-01,,country,Argentina,-34.9964963,-64.9672817
argentina_icon,,Argentina,January,Argentina,icon,,2010,2010-01-01,,country,Argentina,-34.9964963,-64.9672817
arizona_bto,,United States,August,Arizona v.1,bto,Arizona,2018,2018-08-01,,state,"Arizona, United States",34.395342,-111.76327549999999
arizona_bto_2,,United States,December,Arizona v.2,bto,Arizona v.2,2018,2018-12-01,,state,"Arizona v.2, United States",33.7137821,-117.7935252
arizona_bts,,United States,March,Arizona v.1,bts,Arizona,2018,2018-03-01,,state,"Arizona, United States",34.395342,-111.76327549999999
arizona_bts_2,,United States,December,Arizona v.2,bts,Arizona,2018,2018-12-01,,state,"Arizona, United States",34.395342,-111.76327549999999
arizona_btx,,United States,November,Arizona,btx,Arizona,2018,2018-11-01,,state,"Arizona, United States",34.395342,-111.76327549999999
arizona_icon,,United States,January,Arizona,icon,Arizona,2009,2009-01-01,,state,"Arizona, United States",34.395342,-111.76327549999999
arizona_yah,,United States,April,Arizona,yah,Arizona,2013,2013-04-01,,state,"Arizona, United States",34.395342,-111.76327549999999
arizona_yaho,,United States,August,Arizona,yaho,Arizona,2016,2016-08-01,,state,"Arizona, United States",34.395342,-111.76327549999999
arkansas_bto,,United States,September,Arkansas,bto,Arkansas,2018,2018-09-01,,state,"Arkansas, United States",35.2048883,-92.4479108
arkansas_bts,,United States,March,Arkansas,bts,Arkansas,2018,2018-03-01,,state,"Arkansas, United States",35.2048883,-92.4479108
arnhem_icon,Arnhem,Netherlands,January,Arnhem,icon,,2013,2013-01-01,Arnhem,city,"Arnhem, Netherlands",52.005664200000005,5.87623450776413
aruba_icon,,Aruba,January,Aruba,icon,,2010,2010-01-01,,country,Aruba,12.4902998,-69.96098420000001
aspen_yah,Aspen,United States,March,Aspen,yah,Colorado,2014,2014-03-01,Aspen,city,"Aspen, Colorado, United States",39.1911128,-106.8235606
astana_yah,Astana,Kazakhstan,February,Astana,yah,,2017,2017-02-01,Astana,city,"Astana, Kazakhstan",51.15092055,71.4388595154859
athens_icon,Athens,Greece,January,Athens,icon,,2009,2009-01-01,Athens,city,"Athens, Greece",37.9841493,23.7279843
athens_yah,Athens,Greece,June,Athens,yah,,2016,2016-06-01,Athens,city,"Athens, Greece",37.9841493,23.7279843
atlanta_bto,Atlanta,United States,August,Atlanta,bto,Georgia,2018,2018-08-01,Atlanta,city,"Atlanta, Georgia, United States",33.749098700000005,-84.39018490000001
atlanta_btr1,Atlanta,United States,April,Atlanta v.1,bts,Georgia,2018,2018-04-01,Atlanta,city,"Atlanta, Georgia, United States",33.749098700000005,-84.39018490000001
atlanta_bts,Atlanta,United States,July,Atlanta v.2,bts,Georgia,2018,2018-07-01,Atlanta,city,"Atlanta, Georgia, United States",33.749098700000005,-84.39018490000001
atlanta_btx,Atlanta,United States,October,Atlanta,btx,Georgia,2018,2018-10-01,Atlanta,city,"Atlanta, Georgia, United States",33.749098700000005,-84.39018490000001
atlanta_icon,Atlanta,United States,January,Atlanta,icon,Georgia,2009,2009-01-01,Atlanta,city,"Atlanta, Georgia, United States",33.749098700000005,-84.39018490000001
atlanta_yah,Atlanta,United States,April,Atlanta,yah,Georgia,2013,2013-04-01,Atlanta,city,"Atlanta, Georgia, United States",33.749098700000005,-84.39018490000001
atlanta_yaho,Atlanta,United States,August,Atlanta,yaho,Georgia,2016,2016-08-01,Atlanta,city,"Atlanta, Georgia, United States",33.749098700000005,-84.39018490000001
atlantic_canada_bts,,Canada,May,Atlantic Canada,bts,,2018,2018-05-01,,country,Canada,61.0666922,-107.9917071
auckland_icon,Auckland,New Zealand,January,Auckland,icon,,2008,2008-01-01,Auckland,city,"Auckland, New Zealand",-36.852095,174.76318030000002
auckland_rlf,Auckland,New Zealand,November,Auckland,rlf,,2013,2013-11-01,Auckland,city,"Auckland, New Zealand",-36.852095,174.76318030000002
austin_bts,Austin,United States,April,Austin,bts,Texas,2018,2018-04-01,Austin,city,"Austin, Texas, United States",30.2711286,-97.7436995
austin_icon,Austin,United States,January,Austin,icon,Texas,2009,2009-01-01,Austin,city,"Austin, Texas, United States",30.2711286,-97.7436995
austin_yah,Austin,United States,March,Austin,yah,Texas,2013,2013-03-01,Austin,city,"Austin, Texas, United States",30.2711286,-97.7436995
australia_icon,,Australia,January,Australia,icon,,2008,2008-01-01,,country,Australia,-24.7761086,134.755
australia_rlf,,Australia,January,Australia,rlf,,2015,2015-01-01,,country,Australia,-24.7761086,134.755
australia_rlf_2,,Australia,November,Australia Green,rlf,,2016,2016-11-01,,country,Australia,-24.7761086,134.755
australia_rlf_3,,Australia,November,Australia Red,rlf,,2018,2018-11-01,,country,Australia,-24.7761086,134.755
australia_yah,,Australia,October,Australia,yah,,2016,2016-10-01,,country,Australia,-24.7761086,134.755
australia_yahx,,Australia,October,Australia,yahx,,2017,2017-10-01,,country,Australia,-24.7761086,134.755
austria_icon,,Austria,January,Austria,icon,,2009,2009-01-01,,country,Austria,47.2000338,13.199959
austria_yah,,Austria,November,Austria,yah,,2017,2017-11-01,,country,Austria,47.2000338,13.199959
austria_yaho,,Austria,April,Austria,yaho,,2019,2019-04-01,,country,Austria,47.2000338,13.199959
austria_yahox,,Austria,November,Austria,yahox,,2018,2018-11-01,,country,Austria,47.2000338,13.199959
austria_yahx,,Austria,November,Austria,yahx,,2018,2018-11-01,,country,Austria,47.2000338,13.199959
ba_na_hills_yah,Ba Na Hills,Vietnam,April,Ba Na Hills,yah,,2019,2019-04-01,Ba Na Hills,city,"Ba Na Hills, Vietnam",16.0092775,107.98102790000002
ba_na_hills_yaho,Ba Na Hills,Vietnam,April,Ba Na Hills,yaho,,2019,2019-04-01,Ba Na Hills,city,"Ba Na Hills, Vietnam",16.0092775,107.98102790000002
bacolod_icon,Bacolod,Philippines,January,Bacolod,icon,,2009,2009-01-01,Bacolod City,city,"Bacolod, Philippines",10.6762836,122.95137859999998
bacolod_yah,Bacolod,Philippines,April,Bacolod,yah,,2017,2017-04-01,Bacolod City,city,"Bacolod, Philippines",10.6762836,122.95137859999998
baguio_icon,Baguio,Philippines,January,Baguio,icon,,2008,2008-01-01,Baguio,city,"Baguio, Philippines",16.412007,120.5933937
baguio_icon_2,Baguio,Philippines,January,Baguio v.2,icon,,2016,2016-01-01,Baguio,city,"Baguio, Philippines",16.412007,120.5933937
